発表日（初出）	解ける問題	論文	対象サイズ	見積もりの種類	実験実施	論理量子ビット(q)	物理量子ビット(q)	Toffoli数	Tゲート数	Cliffordゲート数	その他論理ゲート数	深さ/サイクル(count)	実行時間(s)	時空間体積(qubit-days)	デバイス	誤り訂正符号	物理量子ビット種	物理エラー率(fraction)	code distance	cycle/測定時間(s)	reaction time(s)	shot/run(count)	retry risk(fraction)	論理エラー率推定(fraction)	論理エラー率推定根拠	通信・その他仮定	数値根拠	備考	古典計算時間(s)	古典/量子時間比	古典計算仮定	古典計算根拠
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / PAR rotations / logical qubits option 1 / code distance option 1	0	1.09e2	3.1e9	NA	NA	NA	NA	NA	3.96e5	NA	surface code	surface code	not specified	1e-6	9e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。PAR rotationsのTable I runtimeは110 hours。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / PAR rotations / logical qubits option 2	0	1.11e2	1.5e8	NA	NA	NA	NA	NA	3.96e5	NA	surface code	surface code	not specified	1e-9	5e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。PAR rotationsのTable I runtimeは110 hours。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / PAR rotations / logical qubits option 2 / code distance option 2	0	1.11e2	1.8e11	NA	NA	NA	NA	NA	3.96e5	NA	surface code	surface code	not specified	1e-3	1.9e1	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。PAR rotationsのTable I runtimeは110 hours。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / PAR rotations / logical qubits option 2 / code distance option 2	0	1.11e2	3.1e9	NA	NA	NA	NA	NA	3.96e5	NA	surface code	surface code	not specified	1e-6	5e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。PAR rotationsのTable I runtimeは110 hours。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Serial rotations / logical qubits option 1	0	1.09e2	1.2e6	NA	NA	NA	NA	NA	1.123e7	NA	surface code	surface code	not specified	1e-6	9e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Serial rotationsのTable I runtimeは130 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Serial rotations / logical qubits option 1	0	1.09e2	2.3e5	NA	NA	NA	NA	NA	1.123e7	NA	surface code	surface code	not specified	1e-9	5e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Serial rotationsのTable I runtimeは130 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Serial rotations / logical qubits option 1 / code distance option 1	0	1.09e2	1.8e8	NA	NA	NA	NA	NA	1.123e7	NA	surface code	surface code	not specified	1e-3	3.5e1	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Serial rotationsのTable I runtimeは130 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Serial rotations / logical qubits option 2	0	1.11e2	1.2e6	NA	NA	NA	NA	NA	1.123e7	NA	surface code	surface code	not specified	1e-6	9e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Serial rotationsのTable I runtimeは130 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Serial rotations / logical qubits option 2	0	1.11e2	2.3e5	NA	NA	NA	NA	NA	1.123e7	NA	surface code	surface code	not specified	1e-9	5e0	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Serial rotationsのTable I runtimeは130 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table II](https://arxiv.org/pdf/1605.03590#page=7)	FeMoco Structure 1, 0.1 mHa	surface-code error correction / Serial rotations / logical qubits option 2 / code distance option 2	0	1.11e2	1.8e8	NA	NA	NA	NA	NA	1.123e7	NA	surface code	surface code	not specified	1e-3	1.7e1	1e-8	NA	NA	NA	NA	NA	error target 0.1 mHa	NA	Table IIの総物理量子ビット。Table II captionはStructure 1をTable I記載時間内に計算する資源と説明。Serial rotationsのTable I runtimeは130 days。T factories・rotation factoriesを含む。論理ゲート種の総数はTable IIには記載なし。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 1 / Nesting, 0.1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.35e2	NA	NA	3.5e15	5.7e15	NA	NA	1.296e6	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 1 / Nesting, 1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.35e2	NA	NA	3.3e14	5.6e14	NA	NA	1.21e5	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 1 / PAR, 0.1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.982e3	NA	NA	3.1e16	3.1e16	NA	NA	3.96e5	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 1 / PAR, 1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.982e3	NA	NA	3e15	3e15	NA	NA	3.96e4	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 1 / Serial, 0.1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.11e2	NA	NA	1.1e15	1.7e15	NA	NA	1.123e7	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 1 / Serial, 1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.11e2	NA	NA	1e14	1.6e14	NA	NA	1.037e6	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 2 / Nesting, 0.1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.42e2	NA	NA	6.5e15	1e16	NA	NA	2.333e6	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 2 / Nesting, 1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.42e2	NA	NA	6e14	9.9e14	NA	NA	2.16e5	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 2 / PAR, 0.1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	2.024e3	NA	NA	6e16	6e16	NA	NA	7.344e5	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 2 / PAR, 1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	2.024e3	NA	NA	5.5e15	5.5e15	NA	NA	7.2e4	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
2016-05-11	量子化学 / FeMocoエネルギー推定	[Reiher et al. 2016 Table I](https://arxiv.org/pdf/1605.03590#page=5)	FeMoco Structure 2 / Serial, 0.1 mHa	Trotter-Suzuki + QPE / 論理見積もり	0	1.17e2	NA	NA	2e15	3.1e15	NA	NA	2.074e7	NA	論理ゲートモデル	NA	NA	NA	NA	1e-8	NA	NA	NA	NA	NA	Clifford circuits require negligible time	NA	Structure 1は54 electrons in 54 spatial orbitals、Structure 2は65 electrons in 57 spatial orbitals。物理実装はこのTable I行には含まれない。Structure 1・0.1 mHaについては同論文Table IIのsurface-code物理見積もりを別行に分けた。 状態準備: QPEに十分よいtrial stateが使えることを仮定し、その準備コストは含めない。Appendix FでHartree-Fock/CI/adiabatic state preparationを議論するが、FeMocoの十分高精度な近似基底状態準備コストは決めていない。	NA	NA	NA	NA
